wavenumber_cm-1,intensity
400.0,8.762703516104166e-17
406.01001669449084,1.110145507646186e-15
412.02003338898163,1.2850042848230584e-14
418.0300500834725,1.3589770658820044e-13
424.04006677796326,1.3131143919235145e-12
430.0500834724541,1.1592467227113723e-11
436.0601001669449,9.35044056698376e-11
442.07011686143574,6.890823930721889e-10
448.0801335559265,4.639734336553834e-09
454.09015025041737,2.8542890875443836e-08
460.1001669449082,1.6043003631854674e-07
466.110183639399,8.238654459618528e-07
472.1202003338898,3.865536484708705e-06
478.1302170283806,1.657090192298394e-05
484.14023372287147,6.490309375357764e-05
490.15025041736226,0.00023225631585533635
496.1602671118531,0.0007593684487097979
502.1702838063439,0.0022684042174404904
508.18030050083473,0.006191148562480627
514.1903171953255,0.01543849234078372
520.2003338898164,0.03517397331193691
526.2103505843072,0.07321850458981935
532.220367278798,0.13925255148419446
538.2303839732888,0.24197380288087214
544.2404006677796,0.3841637838595088
550.2504173622705,0.5572465297741586
556.2604340567613,0.7385182071329693
562.2704507512522,0.8942478869872873
568.2804674457429,0.9893216665216744
574.2904841402337,1.0
580.3005008347245,0.9235179933764791
586.3105175292153,0.77924424712087
592.3205342237062,0.600737481966474
598.330550918197,0.42313479238590124
604.3405676126878,0.27230500612078223
610.3505843071787,0.16010887140243363
616.3606010016695,0.08601180243394646
622.3706176961603,0.042216632020833506
628.380634390651,0.01893180398038618
634.3906510851419,0.0077568125616072105
640.4006677796327,0.0029037383269510044
646.4106844741235,0.0009931492949001794
652.4207011686144,0.00031035195258432896
658.4307178631052,8.860889229209763e-05
664.440734557596,2.3114420758880275e-05
670.4507512520868,5.508985174442605e-06
676.4607679465776,1.1996182785421967e-06
682.4707846410685,2.386697769033521e-07
688.4808013355592,4.338450649753184e-08
694.4908180300501,7.205344964940627e-09
700.5008347245409,1.0933463922771124e-09
706.5108514190317,1.5158061203571936e-10
712.5208681135225,1.920049468800136e-11
718.5308848080133,2.2221023664157298e-12
724.5409015025042,2.349625178496176e-13
730.550918196995,2.2699484512266117e-14
736.5609348914859,2.0036242716679786e-15
742.5709515859767,1.6158440936105047e-16
748.5809682804675,1.1905989851010161e-17
754.5909849749582,8.015201460874511e-19
760.601001669449,4.929992508489826e-20
766.6110183639398,2.7705178828965023e-21
772.6210350584307,1.4225205139512424e-22
778.6310517529215,6.673274661549775e-24
784.6410684474124,2.860239131575879e-25
790.6510851419032,1.1200787806241622e-26
796.661101836394,4.0075382613853628e-28
802.6711185308848,1.3100554158072424e-29
808.6811352253756,3.9127719652898745e-31
814.6911519198665,1.0677320799165744e-32
